Nutr_No,Units,Tagname,NutrDesc,Num_Dec,SR_Order
"203","g","PROCNT","Protein","2",6.00000000e+02
"204","g","FAT","Total lipid (fat)","2",8.00000000e+02
"205","g","CHOCDF","Carbohydrate, by difference","2",1.10000000e+03
"207","g","ASH","Ash","2",1.00000000e+03
"208","kcal","ENERC_KCAL","Energy","0",3.00000000e+02
"209","g","STARCH","Starch","2",2.20000000e+03
"210","g","SUCS","Sucrose","2",1.60000000e+03
"211","g","GLUS","Glucose (dextrose)","2",1.70000000e+03
"212","g","FRUS","Fructose","2",1.80000000e+03
"213","g","LACS","Lactose","2",1.90000000e+03
"214","g","MALS","Maltose","2",2.00000000e+03
"221","g","ALC","Alcohol, ethyl","1",1.82000000e+04
"255","g","WATER","Water","2",1.00000000e+02
"257","g",,"Adjusted Protein","2",7.00000000e+02
"262","mg","CAFFN","Caffeine","0",1.83000000e+04
"263","mg","THEBRN","Theobromine","0",1.84000000e+04
"268","kJ","ENERC_KJ","Energy","0",4.00000000e+02
"269","g","SUGAR","Sugars, total","2",1.50000000e+03
"287","g","GALS","Galactose","2",2.10000000e+03
"291","g","FIBTG","Fiber, total dietary","1",1.20000000e+03
"301","mg","CA","Calcium, Ca","0",5.30000000e+03
"303","mg","FE","Iron, Fe","2",5.40000000e+03
"304","mg","MG","Magnesium, Mg","0",5.50000000e+03
"305","mg","P","Phosphorus, P","0",5.60000000e+03
"306","mg","K","Potassium, K","0",5.70000000e+03
"307","mg","NA","Sodium, Na","0",5.80000000e+03
"309","mg","ZN","Zinc, Zn","2",5.90000000e+03
"312","mg","CU","Copper, Cu","3",6.00000000e+03
"313","µg","FLD","Fluoride, F","1",6.24000000e+03
"315","mg","MN","Manganese, Mn","3",6.10000000e+03
"317","µg","SE","Selenium, Se","1",6.20000000e+03
"318","IU","VITA_IU","Vitamin A, IU","0",7.50000000e+03
"319","µg","RETOL","Retinol","0",7.43000000e+03
"320","µg","VITA_RAE","Vitamin A, RAE","0",7.42000000e+03
"321","µg","CARTB","Carotene, beta","0",7.44000000e+03
"322","µg","CARTA","Carotene, alpha","0",7.45000000e+03
"323","mg","TOCPHA","Vitamin E (alpha-tocopherol)","2",7.90000000e+03
"324","IU","VITD","Vitamin D","0",8.75000000e+03
"325","µg","ERGCAL","Vitamin D2 (ergocalciferol)","1",8.71000000e+03
"326","µg","CHOCAL","Vitamin D3 (cholecalciferol)","1",8.72000000e+03
"328","µg","VITD","Vitamin D (D2 + D3)","1",8.70000000e+03
"334","µg","CRYPX","Cryptoxanthin, beta","0",7.46000000e+03
"337","µg","LYCPN","Lycopene","0",7.53000000e+03
"338","µg","LUT+ZEA","Lutein + zeaxanthin","0",7.56000000e+03
"341","mg","TOCPHB","Tocopherol, beta","2",8.00000000e+03
"342","mg","TOCPHG","Tocopherol, gamma","2",8.10000000e+03
"343","mg","TOCPHD","Tocopherol, delta","2",8.20000000e+03
"344","mg","TOCTRA","Tocotrienol, alpha","2",8.30000000e+03
"345","mg","TOCTRB","Tocotrienol, beta","2",8.40000000e+03
"346","mg","TOCTRG","Tocotrienol, gamma","2",8.50000000e+03
"347","mg","TOCTRD","Tocotrienol, delta","2",8.60000000e+03
"401","mg","VITC","Vitamin C, total ascorbic acid","1",6.30000000e+03
"404","mg","THIA","Thiamin","3",6.40000000e+03
"405","mg","RIBF","Riboflavin","3",6.50000000e+03
"406","mg","NIA","Niacin","3",6.60000000e+03
"410","mg","PANTAC","Pantothenic acid","3",6.70000000e+03
"415","mg","VITB6A","Vitamin B-6","3",6.80000000e+03
"417","µg","FOL","Folate, total","0",6.90000000e+03
"418","µg","VITB12","Vitamin B-12","2",7.30000000e+03
"421","mg","CHOLN","Choline, total","1",7.22000000e+03
"428","µg","MK4","Menaquinone-4","1",8.95000000e+03
"429","µg","VITK1D","Dihydrophylloquinone","1",8.90000000e+03
"430","µg","VITK1","Vitamin K (phylloquinone)","1",8.80000000e+03
"431","µg","FOLAC","Folic acid","0",7.00000000e+03
"432","µg","FOLFD","Folate, food","0",7.10000000e+03
"435","µg","FOLDFE","Folate, DFE","0",7.20000000e+03
"454","mg","BETN","Betaine","1",7.27000000e+03
"501","g","TRP_G","Tryptophan","3",1.63000000e+04
"502","g","THR_G","Threonine","3",1.64000000e+04
"503","g","ILE_G","Isoleucine","3",1.65000000e+04
"504","g","LEU_G","Leucine","3",1.66000000e+04
"505","g","LYS_G","Lysine","3",1.67000000e+04
"506","g","MET_G","Methionine","3",1.68000000e+04
"507","g","CYS_G","Cystine","3",1.69000000e+04
"508","g","PHE_G","Phenylalanine","3",1.70000000e+04
"509","g","TYR_G","Tyrosine","3",1.71000000e+04
"510","g","VAL_G","Valine","3",1.72000000e+04
"511","g","ARG_G","Arginine","3",1.73000000e+04
"512","g","HISTN_G","Histidine","3",1.74000000e+04
"513","g","ALA_G","Alanine","3",1.75000000e+04
"514","g","ASP_G","Aspartic acid","3",1.76000000e+04
"515","g","GLU_G","Glutamic acid","3",1.77000000e+04
"516","g","GLY_G","Glycine","3",1.78000000e+04
"517","g","PRO_G","Proline","3",1.79000000e+04
"518","g","SER_G","Serine","3",1.80000000e+04
"521","g","HYP","Hydroxyproline","3",1.81000000e+04
"573","mg",,"Vitamin E, added","2",7.92000000e+03
"578","µg",,"Vitamin B-12, added","2",7.34000000e+03
"601","mg","CHOLE","Cholesterol","0",1.57000000e+04
"605","g","FATRN","Fatty acids, total trans","3",1.54000000e+04
"606","g","FASAT","Fatty acids, total saturated","3",9.70000000e+03
"607","g","F4D0","4:0","3",9.80000000e+03
"608","g","F6D0","6:0","3",9.90000000e+03
"609","g","F8D0","8:0","3",1.00000000e+04
"610","g","F10D0","10:0","3",1.01000000e+04
"611","g","F12D0","12:0","3",1.03000000e+04
"612","g","F14D0","14:0","3",1.05000000e+04
"613","g","F16D0","16:0","3",1.07000000e+04
"614","g","F18D0","18:0","3",1.09000000e+04
"615","g","F20D0","20:0","3",1.11000000e+04
"617","g","F18D1","18:1 undifferentiated","3",1.21000000e+04
"618","g","F18D2","18:2 undifferentiated","3",1.31000000e+04
"619","g","F18D3","18:3 undifferentiated","3",1.39000000e+04
"620","g","F20D4","20:4 undifferentiated","3",1.47000000e+04
"621","g","F22D6","22:6 n-3 (DHA)","3",1.53000000e+04
"624","g","F22D0","22:0","3",1.12000000e+04
"625","g","F14D1","14:1","3",1.15000000e+04
"626","g","F16D1","16:1 undifferentiated","3",1.17000000e+04
"627","g","F18D4","18:4","3",1.42500000e+04
"628","g","F20D1","20:1","3",1.24000000e+04
"629","g","F20D5","20:5 n-3 (EPA)","3",1.50000000e+04
"630","g","F22D1","22:1 undifferentiated","3",1.25000000e+04
"631","g","F22D5","22:5 n-3 (DPA)","3",1.52000000e+04
"636","mg","PHYSTR","Phytosterols","0",1.58000000e+04
"638","mg","STID7","Stigmasterol","0",1.59000000e+04
"639","mg","CAMD5","Campesterol","0",1.60000000e+04
"641","mg","SITSTR","Beta-sitosterol","0",1.62000000e+04
"645","g","FAMS","Fatty acids, total monounsaturated","3",1.14000000e+04
"646","g","FAPU","Fatty acids, total polyunsaturated","3",1.29000000e+04
"652","g","F15D0","15:0","3",1.06000000e+04
"653","g","F17D0","17:0","3",1.08000000e+04
"654","g","F24D0","24:0","3",1.13000000e+04
"662","g","F16D1T","16:1 t","3",1.19000000e+04
"663","g","F18D1T","18:1 t","3",1.23000000e+04
"664","g","F22D1T","22:1 t","3",1.27000000e+04
"665","g",,"18:2 t not further defined","3",1.38000000e+04
"666","g",,"18:2 i","3",1.37000000e+04
"669","g","F18D2TT","18:2 t,t","3",1.36000000e+04
"670","g","F18D2CLA","18:2 CLAs","3",1.33000000e+04
"671","g","F24D1C","24:1 c","3",1.28000000e+04
"672","g","F20D2CN6","20:2 n-6 c,c","3",1.43000000e+04
"673","g","F16D1C","16:1 c","3",1.18000000e+04
"674","g","F18D1C","18:1 c","3",1.22000000e+04
"675","g","F18D2CN6","18:2 n-6 c,c","3",1.32000000e+04
"676","g","F22D1C","22:1 c","3",1.26000000e+04
"685","g","F18D3CN6","18:3 n-6 c,c,c","3",1.41000000e+04
"687","g","F17D1","17:1","3",1.20000000e+04
"689","g","F20D3","20:3 undifferentiated","3",1.44000000e+04
"693","g","FATRNM","Fatty acids, total trans-monoenoic","3",1.55000000e+04
"695","g","FATRNP","Fatty acids, total trans-polyenoic","3",1.56000000e+04
"696","g","F13D0","13:0","3",1.04000000e+04
"697","g","F15D1","15:1","3",1.16000000e+04
"851","g","F18D3CN3","18:3 n-3 c,c,c (ALA)","3",1.40000000e+04
"852","g","F20D3N3","20:3 n-3","3",1.45000000e+04
"853","g","F20D3N6","20:3 n-6","3",1.46000000e+04
"855","g","F20D4N6","20:4 n-6","3",1.49000000e+04
"856","g",,"18:3i","3",1.42000000e+04
"857","g","F21D5","21:5","3",1.51000000e+04
"858","g","F22D4","22:4","3",1.51600000e+04
"859","g","F18D1TN7","18:1-11 t (18:1t n-7)","3",1.23100000e+04
